1516470452 2018-01-20 17:47:32 505209 REMEDY     59d7f39c5ae033d26a976b0dba981f0f7c60bcf5e96df267ee78754c0d31d332 144 2
1517263239 2018-01-29 22:00:39 506717 REMEDY     37af5417e18b4f5b1b329e2097a7a07a0ee4243bd651bb6015c18879c8dc6380 144 1
1518028001 2018-02-07 18:26:41 508132 REMEDY     49449af5962d02626bf8ef6129bdcb24d5a45d42bafb8825994959431bd508d7 144 1255
1519238572 2018-02-21 18:42:52 510278 REMEDY     c49e320bbce5e89e3f4ab4b9b50e775dfdfc16bb7da3aa4747d5da53bf289f53 144 3
1519320578 2018-02-22 17:29:38 510431 REMEDY     d58647606425efb19e559eed358494f9c1d36b5e2b0fe3a33081a9d17a54046e 144 76
1519873125 2018-03-01 02:58:45 511407 REMEDY     4fa00fe108ca211fa89d106eaeb0157163ef50ec21bf79e837ff32a0cad804d5 144 1
1520369247 2018-03-06 20:47:27 512314 REMEDY     fbb28ca2c7021ed6b1eb9f3e57eb8175e9dc94f3880ca8128fa7a380527a91f3 144 0
1520976753 2018-03-13 21:32:33 513402 REMEDY     7d97454e66f4deaf9250d4aa8a2fd70a8e18102b220cec6fc1d3a22399e2f595 144 1
1521467124 2018-03-19 13:45:24 514251 REMEDY     ce8bcfc00341e7bd56571314abbe083e4dcd348b214f5055730e066b50aad7aa 144 8
1521753139 2018-03-22 21:12:19 514721 REMEDY     6a45c439feb45d5f7da6bd810bdcf846956896d895743145de578ce3aa8b5ead 144 1
1521798105 2018-03-23 09:41:45 514773 REMEDY     f5280df84c349f7dab37ab14f3ead5c7f832b1d24378de95f6c8a9ef3813a00a 144 2
1522009883 2018-03-25 20:31:23 515141 REMEDY     b35132cba089fedf4ffc9d17138b58c7a68bb97544ced9a9c4bcd8cc5b598075 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     523f4a016e98e003ace087844c3511d969f11f86834c7b33e7de92a287feb3ad 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     9c4ce434983fbca9d00cdea2c34a70618394c119537afd2ece54e3512c4f6e10 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     1e8a436da2179fe617cedcbedcacc94c37ba33646093fc8f5ffb41d7a2f69117 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     43451434e5ccc07ca2d89238d3c88dd88b165441d5d36ce9af89952e130a0f1a 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     38b4b9e57f200ef9c2b188f4034006892577fb916a259f16cccf45dc0b3f2320 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     23937eae5de5685495b0909c3607ca54e2ab72e52f280437abdd53d52631c320 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     8a10aa19f4b910a7a7a83ba962c484315635bafc1692ef931a67c92779eafd67 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     ab2eec3e1ccc4913392b089d164154a2e6ba31a0c6e4460b3103d4b8d86fa883 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     fa63f7f8fcfb65aa67bae117aaee80aac0b2eaa2114e2231ada946a105f508a8 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     46b149089d48cd20e478fbe2279afc0b1238dbbf67930d613ec4512d6e7b4fdb 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     9a4039379eba1967739747cd3d51489478fff51a5f46768c11856aa7c2070bed 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     ec0d380f9b4539fc3426e97215d4dd896ace222161e48674df791d6540736606 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     2d512f4365cf1ea8fcfbe1992d858e9a03b21392bceca5b6f41efcc43dd10c4e 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     3c1d2ad21a3690fce87df41aeb4071df47b942c1096042e0e209e900405c24a1 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     67f3e81833ca4adcfc150fb1f4dafab0f0bedf093e031504ab25cf8e887d68c0 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     5d06be2f0bba3628f338f6f05a2f7f212d103bed5b35bc3e1fbf92842fd53d7e 144 1
1522009883 2018-03-25 20:31:23 515141 REMEDY     5b6d48e8b13aa9db7eabdca19d1143a559973985ebcdf5f5eb5cc180d1da6a26 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     19221466be25fa337d931e69d5d23b19bc0491ef05ab34ef8eba7de5d2941558 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     48a454a571653f743b1bb4d48e593efc5bc5745630b5a34406ef7bb76c0e4758 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     ca86f88247bfd8e90fae3efe9f1a579aa5120b45ea15ed17f644d8f0414dab75 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     b3b32fa4e4c7026c0d9a9e7c9abaf5bb2c2a4c70360524579609f9b56d147da1 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     4bf2d88f2e590bd00fabed90ca33e723eb581706c8ddd8a8cb8f2bcd209834d7 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     4788c69a77841f74022adefc22b492da760b99308c6f89a1d1e42760feb8500a 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     bdfb3c9c6f3a0eb927145db678f442900e947aa015636247dde315b443787b17 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     21b5c3f8dd8d31df62d80f69cdc5f35b6e7978e0562682b6af363de644f49163 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     dddd90e1fe1e4ccc71656d7eaa4a5dc31a1b590b2adbfeeddaff1da6bd6b3dc4 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     c9200381ef29cb1155eff71473fb628180acb1352a9e197f872f71395be9dbc7 144 1
1522169710 2018-03-27 16:55:10 515413 REMEDY     f2c343ffbb99dabf94df8c1740bb6afe664b8e0ad70952229b539b7166eecafc 144 1
1522170796 2018-03-27 17:13:16 515416 REMEDY     687e475953f0c577d2ff5d5b6899c4348a021a9e4ae69a3590e3ee8f78c8a094 144 4
